ccs,ivec(cell config),weight
0,"(4, 0, 0, 0, 0)",5
0,"(3, 1, 0, 0, 0)",-4
0,"(3, 0, 1, 0, 0)",-3
0,"(3, 0, 0, 1, 0)",2
0,"(3, 0, 0, 0, 1)",0
0,"(2, 2, 0, 0, 0)",12
0,"(2, 1, 1, 0, 0)",9
0,"(2, 1, 0, 1, 0)",-6
0,"(2, 1, 0, 0, 1)",0
0,"(2, 0, 2, 0, 0)",9
0,"(2, 0, 1, 1, 0)",-6
0,"(2, 0, 1, 0, 1)",0
0,"(2, 0, 0, 2, 0)",6
0,"(2, 0, 0, 1, 1)",0
0,"(2, 0, 0, 0, 2)",0
0,"(1, 3, 0, 0, 0)",-12
0,"(1, 2, 1, 0, 0)",-9
0,"(1, 2, 0, 1, 0)",6
0,"(1, 2, 0, 0, 1)",0
0,"(1, 1, 2, 0, 0)",-18
0,"(1, 1, 1, 1, 0)",12
0,"(1, 1, 1, 0, 1)",0
0,"(1, 1, 0, 2, 0)",-12
0,"(1, 1, 0, 1, 1)",0
0,"(1, 1, 0, 0, 2)",0
0,"(1, 0, 3, 0, 0)",-9
0,"(1, 0, 2, 1, 0)",6
0,"(1, 0, 2, 0, 1)",0
0,"(1, 0, 1, 2, 0)",-12
0,"(1, 0, 1, 1, 1)",0
0,"(1, 0, 1, 0, 2)",0
0,"(1, 0, 0, 3, 0)",15
0,"(1, 0, 0, 2, 1)",0
0,"(1, 0, 0, 1, 2)",0
0,"(1, 0, 0, 0, 3)",0
0,"(0, 4, 0, 0, 0)",13
0,"(0, 3, 1, 0, 0)",3
0,"(0, 3, 0, 1, 0)",-6
0,"(0, 3, 0, 0, 1)",0
0,"(0, 2, 2, 0, 0)",9
0,"(0, 2, 1, 1, 0)",-6
0,"(0, 2, 1, 0, 1)",0
0,"(0, 2, 0, 2, 0)",15
0,"(0, 2, 0, 1, 1)",0
0,"(0, 2, 0, 0, 2)",0
0,"(0, 1, 3, 0, 0)",9
0,"(0, 1, 2, 1, 0)",-6
0,"(0, 1, 2, 0, 1)",0
0,"(0, 1, 1, 2, 0)",12
0,"(0, 1, 1, 1, 1)",0
0,"(0, 1, 1, 0, 2)",0
0,"(0, 1, 0, 3, 0)",-12
0,"(0, 1, 0, 2, 1)",0
0,"(0, 1, 0, 1, 2)",0
0,"(0, 1, 0, 0, 3)",0
0,"(0, 0, 4, 0, 0)",8
0,"(0, 0, 3, 1, 0)",-6
0,"(0, 0, 3, 0, 1)",0
0,"(0, 0, 2, 2, 0)",15
0,"(0, 0, 2, 1, 1)",0
0,"(0, 0, 2, 0, 2)",0
0,"(0, 0, 1, 3, 0)",-12
0,"(0, 0, 1, 2, 1)",0
0,"(0, 0, 1, 1, 2)",0
0,"(0, 0, 1, 0, 3)",0
0,"(0, 0, 0, 4, 0)",2
1,"(4, 0, 0, 0, 0)",126
1,"(3, 1, 0, 0, 0)",-24
1,"(3, 0, 1, 0, 0)",-18
1,"(3, 0, 0, 1, 0)",30
1,"(2, 2, 0, 0, 0)",48
1,"(2, 1, 1, 0, 0)",36
1,"(2, 1, 0, 1, 0)",-24
1,"(2, 0, 2, 0, 0)",36
1,"(2, 0, 1, 1, 0)",-24
